Categoria,Técnica,Nome Completo,Onde Aparece no CSV,Explicação,Implementação/Código,Fases Utilizadas,Impacto/Objetivo
Pré-processamento,CLAHE,Contrast Limited Adaptive Histogram Equalization,Coluna: Filtro,Equalização adaptativa de histograma que melhora o contraste local da imagem sem amplificar ruído. Divide a imagem em tiles e aplica equalização limitada (clip_limit=4.0).,cv2.createCLAHE(clipLimit=4.0) + conversão LAB,2 e 2.5,Realça estruturas ósseas e detalhes sutis em imagens médicas
Pré-processamento,ROI Crop,Region of Interest Cropping,Coluna: Input,Extração da região de interesse detectada pelo YOLO com margem adicional ao redor da bounding box. Fase 1.5 usa 15% de margem; Fases 2/2.5 usam 40% de margem.,YOLO detecção + expansão bbox com PADDING (0.15 ou 0.40),1.5 (15%); 2 e 2.5 (40%),Foca o modelo na região relevante e fornece contexto anatômico variável
Data Augmentation,HFlip,Random Horizontal Flip,Coluna: Augment.,Espelhamento horizontal aleatório da imagem durante o treinamento para aumentar variabilidade.,transforms.RandomHorizontalFlip(),Todas as fases,Aumenta robustez a orientações diferentes
Data Augmentation,VFlip,Random Vertical Flip,Coluna: Augment.,Espelhamento vertical aleatório da imagem durante o treinamento.,transforms.RandomVerticalFlip(),2 e 2.5,Aumenta robustez a orientações verticais
Data Augmentation,Rot15°,Random Rotation 15°,Coluna: Augment.,Rotação aleatória de até ±15 graus para simular variações de posicionamento.,transforms.RandomRotation(15),Todas as fases (exceto YOLO),Simula variações naturais no posicionamento do paciente
Data Augmentation,ColorJitter,Color Jitter,Coluna: Augment.,Variações aleatórias em brilho e contraste (brightness=0.1; contrast=0.1).,transforms.ColorJitter(brightness=0.1; contrast=0.1),1; 1.5,Simula variações de iluminação e aquisição
Data Augmentation,Zoom(85-100%),Random Resized Crop,Coluna: Augment.,Crop aleatório com zoom entre 85% e 100% do tamanho original; simula variações de escala e enquadramento.,transforms.RandomResizedCrop(size; scale=(0.85; 1.0)),2.5,Aumenta robustez a variações de escala e enquadramento
Balanceamento,Class Weights (Loss),Weighted Cross-Entropy Loss,Coluna: Sampler,Pesos inversamente proporcionais à frequência das classes aplicados na função de perda. Benigno ~0.6; Maligno ~2.7. Penaliza mais erros na classe minoritária.,nn.CrossEntropyLoss(weight=[0.6; 2.7]),1 e 1.5,Compensa desbalanceamento penalizando erros na classe minoritária
Balanceamento,WeightedRandomSampler,Weighted Random Sampler,Coluna: Sampler,Amostragem ponderada que sorteia mais frequentemente exemplos da classe minoritária durante criação dos batches (oversampling on-the-fly).,torch.utils.data.WeightedRandomSampler,2 e 2.5,Balanceia distribuição de classes nos batches de treinamento
Otimização,AdamW,Adam with Weight Decay,Coluna: Otimiz. / LR,Otimizador Adam com regularização L2 desacoplada (weight decay). Learning rate = 1e-4.,optim.AdamW(params; lr=1e-4),Todas as fases,Convergência eficiente com regularização implícita
Scheduler,CosineWarmRestart,Cosine Annealing Warm Restarts,Coluna: Scheduler,Scheduler que reduz LR seguindo função cosseno e reinicia periodicamente (T0=10 épocas). Ajuda a escapar de mínimos locais.,optim.lr_scheduler.CosineAnnealingWarmRestarts(T_0=10),2 e 2.5,Melhora exploração do espaço de parâmetros e convergência
Regularização,Label Smoothing,Label Smoothing,Coluna: Regularização,Suaviza labels one-hot (0.1). Ao invés de [0;1] usa [0.05; 0.95]. Reduz overconfidence e melhora generalização.,Implementado na loss com smoothing=0.1,2.5,Previne overconfidence e melhora calibração do modelo
Regularização,DropPath,Stochastic Depth / Drop Path,Coluna: Regularização,Durante treino; desativa aleatoriamente caminhos residuais inteiros (rate=0.2). Funciona como Dropout estrutural para redes profundas.,Implementado internamente nos modelos (drop_path_rate=0.2),2.5,Reduz overfitting em modelos muito profundos (ViT; Swin)
Transfer Learning,ImageNet,ImageNet Pre-training,Coluna: Pesos / Freezing,Pesos pré-treinados no dataset ImageNet (1.2M imagens naturais; 1000 classes). Modelos iniciam com features genéricas.,timm.create_model(name; pretrained=True),Todas (exceto M11 RadImageNet),Acelera convergência com features visuais genéricas
Transfer Learning,RadImageNet,RadImageNet Pre-training,Coluna: Pesos / Freezing,Pesos pré-treinados em imagens médicas radiológicas. Mais específico para domínio médico que ImageNet.,Carregamento manual de pesos RadImageNet,2 e 2.5 (apenas M11-ResNet50),Features especializadas em imagens médicas
Treinamento,Unfrozen,Fine-tuning Completo,Coluna: Pesos / Freezing,Todos os pesos do modelo são treináveis (não há camadas congeladas). Permite adaptação completa ao domínio.,for param in model.parameters(): param.requires_grad = True,Todas as fases,Adaptação completa ao dataset específico
Early Stopping,Patience,Early Stopping Patience,Coluna: Patience,Número de épocas sem melhoria na validação antes de parar o treino. Fase 1/1.5: 15; Fase 2/2.5: 12.,Contador manual no loop de treino,Todas as fases,Previne overfitting e economiza tempo de treino
Arquitetura,CNN,Convolutional Neural Network,Coluna: Arquitetura,Redes baseadas em convoluções 2D. Eficientes; baixo custo computacional; boa para texturas locais.,EfficientNetV2; DenseNet; ResNet; YOLO,Todas as fases,Extração hierárquica de features espaciais locais
Arquitetura,ViT,Vision Transformer,Coluna: Arquitetura,Transformers puros aplicados a patches de imagem. Capturam dependências globais via self-attention.,ViT; DeiT; BEiT,Todas as fases,Modelagem de relações globais de longo alcance
Arquitetura,Híbrido,Hybrid CNN-Transformer,Coluna: Arquitetura,Combinação de convoluções (features locais) com self-attention (relações globais).,Swin Transformer; MaxViT; CoAtNet,Todas as fases,Benefícios de features locais e globais combinadas
Detecção,YOLO,You Only Look Once,Coluna: Pipeline,Detector de objetos usado para localizar ROI (região de interesse) antes da classificação. Gera bounding boxes.,YOLOv8 para detecção + expansão,1.5; 2; 2.5,Localização automática da região anatômica relevante
Pipeline,End-to-End,End-to-End Training,Coluna: Pipeline,Treinamento direto da imagem (ou ROI) até a classificação final; sem etapas intermediárias.,Loop de treino único com backpropagation,Todas as fases,Otimização conjunta de todas as etapas
Interpretabilidade,Grad-CAM,Gradient-weighted Class Activation Mapping,Coluna: Grad-CAM,Visualização de quais regiões da imagem influenciaram a predição através de gradientes da última camada convolucional.,pytorch_grad_cam.GradCAM + target_layers,Pós-treino (análise),Validação visual das regiões relevantes para decisão
Métrica,Acurácia,Accuracy,Coluna: Acurácia (Teste),Proporção de predições corretas sobre total. (TP+TN)/(TP+TN+FP+FN).,sklearn.metrics.accuracy_score,Todas as fases,Medida geral de desempenho
Métrica,F1-Score,F1-Score,Coluna: F1-Score,Média harmônica entre Precision e Recall. 2*(P*R)/(P+R). Importante para dados desbalanceados.,sklearn.metrics.f1_score,Todas as fases,Balanço entre precisão e sensibilidade
Métrica,Recall,Sensitivity / True Positive Rate,Coluna: Recall,Proporção de malignos corretamente identificados. TP/(TP+FN). Crítico em medicina.,sklearn.metrics.recall_score,Todas as fases,Capacidade de detectar casos positivos (malignos)
Métrica,AUC,Area Under ROC Curve,Coluna: AUC,Área sob curva ROC (trade-off sensibilidade vs especificidade). Mede discriminação entre classes.,sklearn.metrics.roc_auc_score,Todas as fases,Qualidade da separação entre classes
Hardware,Mixed Precision,Automatic Mixed Precision,Implícito no código,Treino com float16 para operações rápidas e float32 para estabilidade numérica. Acelera treino e reduz memória.,torch.amp.autocast('cuda') + GradScaler,Todas as fases,~2x mais rápido; usa menos VRAM
Hardware,CUDA,GPU Acceleration,Device: cuda,Execução em GPU NVIDIA para acelerar operações matriciais (convoluções; matrix multiplication).,torch.device('cuda'),Todas as fases,Acelera treino 10-100x vs CPU
Arquitetura Específica,EfficientNetV2-S,EfficientNet V2 Small,Modelo: M1,CNN otimizada com compound scaling e Fused-MBConv. Eficiente em parâmetros e velocidade.,timm: tf_efficientnetv2_s,1 e 1.5,Boa acurácia com baixo custo computacional
Arquitetura Específica,EfficientNetV2-L,EfficientNet V2 Large,Modelo: M12,Versão maior do EfficientNetV2 com mais camadas e canais. Alta capacidade.,timm: tf_efficientnetv2_l,2 e 2.5,Máxima capacidade de representação
Arquitetura Específica,DenseNet-201,DenseNet 201 Layers,Modelo: M2,CNN com conexões densas entre camadas (cada camada conecta a todas anteriores). Reuso de features.,timm: densenet201,1 e 1.5,Reuso eficiente de features; gradient flow
Arquitetura Específica,ResNet50,Residual Network 50,Modelo: M11,CNN com blocos residuais (skip connections). Facilita treino de redes profundas.,timm: resnet50,2 e 2.5,Treino estável de redes profundas; compatível com RadImageNet
Arquitetura Específica,ViT-Base,Vision Transformer Base,Modelo: M3,Transformer puro com 12 camadas; patches 16x16. 86M parâmetros.,timm: vit_base_patch16_224,1 e 1.5,Atenção global em toda imagem
Arquitetura Específica,DeiT-B,Data-efficient Image Transformer,Modelo: M4,ViT treinado com destilação de conhecimento. Converge melhor com menos dados.,timm: deit_base_distilled_patch16_224,1 e 1.5,Melhor que ViT em datasets pequenos
Arquitetura Específica,BEiT-Base,BERT pre-training for Images,Modelo: M5,ViT pré-treinado com masked image modeling (similar ao BERT). Features auto-supervisionadas.,timm: beit_base_patch16_224,Todas as fases,Pre-training auto-supervisionado robusto
Arquitetura Específica,SwinV2-Tiny,Swin Transformer V2 Tiny,Modelo: M6,Transformer hierárquico com shifted windows. Eficiente computacionalmente.,timm: swinv2_tiny_window16_256,1 e 1.5,Features hierárquicas + atenção local eficiente
Arquitetura Específica,SwinV2-Base,Swin Transformer V2 Base,Modelo: M13,Versão maior do Swin com mais capacidade.,timm: swin_base_patch4_window12_384,2.5,Maior capacidade para features hierárquicas
Arquitetura Específica,MaxViT-Tiny,Multi-Axis Vision Transformer,Modelo: M7,Híbrido CNN-Transformer com atenção em múltiplos eixos (local + global alternados).,timm: maxvit_rmlp_tiny_rw_256,1 e 1.5,Balanceamento atenção local/global eficiente
Arquitetura Específica,CoAtNet-2,Convolution-Attention Network,Modelo: M8,Híbrido que combina depthwise convolutions com self-attention em estágios.,timm: coatnet_2_rw_224,1 e 1.5,Generalização via indutive bias (CNN) + capacidade (Transformer)
Arquitetura Específica,YOLOv8n-cls,YOLO v8 Nano Classifier,Modelo: M9,YOLO adaptado para classificação (não detecção). Muito rápido.,Ultralytics yolov8n-cls.pt,1,Baseline rápido para comparação
Arquitetura Específica,YOLOv8s-cls,YOLO v8 Small Classifier,Modelo: M10,Versão Small do YOLO classifier.,Ultralytics yolov8s-cls.pt,1.5,Baseline com mais capacidade que nano
Normalização,ImageNet Normalization,Standard ImageNet Stats,Implícito em transforms,Normalização com média [0.485; 0.456; 0.406] e std [0.229; 0.224; 0.225] do ImageNet.,transforms.Normalize([0.485;0.456;0.406]; [0.229;0.224;0.225]),Todas as fases,Compatibilidade com pesos pré-treinados
Fase Experimental,Fase 1,Baseline com Imagem Completa,Coluna: Fase,Experimentos iniciais usando imagem completa sem pré-processamento avançado. Baseline.,Full image + augmentação básica,N/A,Estabelecer baseline de desempenho
Fase Experimental,Fase 1.5,ROI Crop com Margem Mínima,Coluna: Fase,Uso de ROI detectado pelo YOLO com margem de 15%. Foco inicial na região.,ROI 15% + mesma config Fase 1,N/A,Avaliar impacto de focar na ROI
Fase Experimental,Fase 2,Otimizações Avançadas,Coluna: Fase,Adição de CLAHE; VFlip; scheduler; aumento margem ROI (40%); WeightedSampler; ResNet50 com RadImageNet.,ROI 40% + CLAHE + scheduler + sampler,N/A,Maximizar desempenho com técnicas avançadas
Fase Experimental,Fase 2.5,Regularização Pesada,Coluna: Fase,Adição de Label Smoothing; DropPath e Zoom augmentation sobre Fase 2.,Fase 2 + LabelSmooth + DropPath + Zoom,N/A,Prevenir overfitting e melhorar generalização
Fase Experimental,Fase 3,Dual Pipeline + Offline Augmentation,Coluna: Fase,Pipeline duplo: CNNs usam crops limpos; ViTs usam dados expandidos 10x offline com Albumentations. CLAHE aplicado offline em todos os crops.,Dual pipeline + 10x offline aug para ViT + Gradient Accumulation,N/A,Otimizar cada tipo de modelo com estratégia adequada
Data Augmentation,10x Offline Aug,Offline Data Augmentation 10x,Coluna: Augment.,Augmentation aplicado ANTES do treino criando 10 variações de cada imagem de treino (exceto Fold 0). Usa Albumentations: HFlip+VFlip+Rot20°+BrightContrast+GaussNoise+Affine. Apenas para ViTs.,Albumentations pipeline salvo em disco,3 (apenas ViT),Aumenta drasticamente dataset para ViTs sem overhead no treino
Data Augmentation,Offline CLAHE,CLAHE Pré-processamento Offline,Coluna: Filtro,CLAHE aplicado nos crops ANTES de salvar em disco. Todos os modelos treinam com imagens já processadas.,Aplicado no gerar_crops_fase3.py,3,Elimina overhead de processamento durante treino
Regularização,GradAccum(2x),Gradient Accumulation 2 Steps,Coluna: Regularização,Acumula gradientes por 2 batches antes de atualizar pesos. Simula batch 2x maior sem aumentar uso de VRAM. Loss dividido por ACCUMULATION_STEPS.,Backward a cada batch; step a cada 2 batches,3,Simula batch maior; melhora estabilidade e generalização
Pipeline,Dual Pipeline,Dual Training Pipeline,Coluna: Pipeline,Dois pipelines separados: (1) CNN usa crops limpos; (2) ViT usa crops + 10x augmentation offline. CSVs e pastas separadas.,classificacao_crops_cnn vs classificacao_crops_vit,3,Otimiza estratégia para cada tipo de arquitetura
Arquitetura Específica,DenseNet121,DenseNet 121 Layers,Modelo: M14,CNN com conexões densas (121 camadas). Versão menor que DenseNet-201 da Fase 1. Compatível com RadImageNet.,timm: densenet121,3,Reuso eficiente de features com menor custo que DenseNet-201
Arquitetura Específica,BEiTv2-Base,BERT pre-training for Images v2,Modelo: M15,Evolução do BEiT com melhorias no pre-training (ImageNet-22k). Masked image modeling aprimorado.,timm: beitv2_base_patch16_224.in1k_ft_in22k,3,Pre-training auto-supervisionado mais robusto que BEiT v1
Arquitetura Específica,SwinV2-Base (Window 12-24),Swin Transformer V2 Base,Modelo: M16,Swin V2 com windows adaptativos (12→24) e resolução variável (192→384). Mais poderoso que SwinV2-Tiny.,timm: swinv2_base_window12to24_192to384_22kft1k,3,Features hierárquicas com maior capacidade que versão Tiny
Transfer Learning,ImageNet-22k,ImageNet-22k Pre-training,Coluna: Pesos / Freezing,Pesos pré-treinados em ImageNet com 22k classes (vs 1k classes padrão). Mais diversidade que ImageNet-1k.,Pre-training em 14M imagens,3 (BEiT v2; SwinV2),Features mais ricas por maior diversidade de classes
Biblioteca,Albumentations,Albumentations Library,Código: import albumentations,Biblioteca profissional de augmentation com implementações otimizadas e maior controle que torchvision.,A.Compose([A.HFlip(); A.Rotate()...]),3,Augmentations mais robustas e diversas que torchvision
Otimização,Batch Increase,Batch Size Optimization,Coluna: Batch,Aumento dos batch sizes aproveitando melhor a VRAM disponível: ResNet50 16→24; DenseNet121 12→20; EfficientNetV2-L 4→6; BEiT 8→12; SwinV2 4→6.,Ajuste manual baseado em VRAM,3,Treino mais rápido e gradientes mais estáveis
Hardware,cuDNN Benchmark,cuDNN Auto-tuning,Código: cudnn.benchmark,Habilita auto-tuning do cuDNN para encontrar algoritmos de convolução mais rápidos para o hardware específico.,torch.backends.cudnn.benchmark = True,3,20-30% mais rápido que modo determinístico
